Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,8488,7/23/2012,Theft,Desktop Computer,No
"The Surgeons of Lake County, LLC",IL,Healthcare Provider,7067,7/25/2012,Other,Network Server,No
Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,Healthcare Provider,1504,7/25/2012,Theft,Other,No
Jeffrey Paul Edelstein M.D.,AZ,Healthcare Provider,4800,7/27/2012,Theft,Network Server,No
Northwestern Memorial Hospital,IL,Healthcare Provider,4211,7/27/2012,Theft,"Laptop, Other Portable Electronic Device",No
Walgreen Co.,IL,Healthcare Provider,1240,7/30/2012,Theft,Paper/Films,No
EMC,CT,Business Associate,7461,7/30/2012,Theft,Laptop,Yes
Oregon Health & Science University,OR,Healthcare Provider,702,7/31/2012,Theft,Other,No
Stanford Hospital & Clinics and School of Medicine,CA,Healthcare Provider,2300,8/3/2012,Theft,Desktop Computer,No
Harris County Hospital District,TX,Healthcare Provider,2875,8/3/2012,Theft,"Electronic Medical Record, Paper/Films",No
"Siemens Medical Solutions, USA",PA,Business Associate,66601,8/10/2012,Theft,Laptop,Yes
TEMPLE COMMUNITY HOSPITAL,CA,Healthcare Provider,603,8/15/2012,Theft,Desktop Computer,No
"Heartland Pathology Associates, P.A.",FL,Healthcare Provider,1175,8/15/2012,Theft,Other Portable Electronic Device,No
"Apria Healthcare, Inc., Privacy Manager Breach",CA,Healthcare Provider,,8/15/2012,Theft,Laptop,No
Memorial Healthcare System,FL,Healthcare Provider,105646,8/16/2012,Theft,Electronic Medical Record,No
"Liberty Resources, Inc.",PA,Healthcare Provider,3183,8/17/2012,Theft,Laptop,No
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,2264,8/17/2012,Loss,Other Portable Electronic Device,No
Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,Health Plan,754,8/21/2012,"Other, Unauthorized Access/Disclosure",Paper/Films,No
LANA MEDICAL CARE,FL,Healthcare Provider,500,8/28/2012,Theft,Laptop,No
"Cancer Care Group, P.C.",IN,Healthcare Provider,55000,8/28/2012,Theft,Other Portable Electronic Device,No
Tricounty Behavioral Health Clinic,GA,Healthcare Provider,4000,8/31/2012,Theft,Laptop,No
Sierra Plastic Surgery,NV,Healthcare Provider,800,9/5/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
"Charlotte Clark-Neitzel, MD",WA,Healthcare Provider,942,9/7/2012,Theft,Laptop,No
University of Miami,FL,Healthcare Provider,64846,9/7/2012,"Other, Unauthorized Access/Disclosure",Paper/Films,No
University of New Mexico Health Sciences Center,NM,Healthcare Provider,2365,9/12/2012,Hacking/IT Incident,Network Server,No
"Valley Plastic Surgery, P.C.",VA,Healthcare Provider,4873,9/13/2012,Theft,Other Portable Electronic Device,No
"Ecco Health, LLC",NV,Business Associate,5713,9/14/2012,Loss,Other Portable Electronic Device,Yes
"BHcare, Inc",CT,Healthcare Provider,5827,9/14/2012,Theft,"Laptop, Other Portable Electronic Device",No
The Feinstein Institute for Medical Reserch,NY,Healthcare Provider,13000,9/14/2012,Theft,Laptop,No
"St. Therese Medical Group, Inc",CA,Healthcare Provider,3031,9/17/2012,Theft,Desktop Computer,No
"Cabinet for Health and Family Services, Department for Community Based Services",KY,Healthcare Provider,2500,9/19/2012,Unauthorized Access/Disclosure,Email,No
"PST Services, Inc",GA,Business Associate,13074,10/8/2012,Improper Disposal,Paper/Films,Yes
"Apria Healthcare, Inc.",CA,Healthcare Provider,65700,10/10/2012,Theft,Laptop,No
"Alexander J. Tikhtman, M.D.",KY,Healthcare Provider,2376,10/12/2012,Theft,Other Portable Electronic Device,No
Gulf Coast Health Care Services Inc,FL,Healthcare Provider,13000,10/15/2012,"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure",Network Server,No
"Blount Memorial Hospital, Inc",TN,Healthcare Provider,27799,10/17/2012,Theft,Laptop,No
"Alere Home Monitoring, Inc",CA,Healthcare Provider,116506,10/18/2012,Theft,Laptop,No
"Coastal home Respiratory, LLP",GA,Healthcare Provider,3440,10/18/2012,Theft,Other,No
"Philip P Corneliuson, DDS, INC.",CA,Healthcare Provider,980,10/22/2012,Theft,Desktop Computer,No
L.A. Care Health Plan,CA,Health Plan,18000,10/22/2012,Other,Paper/Films,No
"First Step Counseling, Inc.",NJ,Healthcare Provider,638,10/23/2012,Theft,Paper/Films,No
"Logan Community Resources, Inc.",IN,Healthcare Provider,2900,10/23/2012,Hacking/IT Incident,Network Server,No
Health Care Service Corporation,IL,Health Plan,,10/26/2012,Theft,Paper/Films,No
SwedishAmerican Health System,IL,Healthcare Provider,1500,10/26/2012,Theft,Paper/Films,No
CVS Caremark,RI,Healthcare Provider,955,10/26/2012,Theft,Paper/Films,No
Memorial Hospital,OH,Healthcare Provider,500,10/29/2012,Improper Disposal,Paper/Films,No
"Waipahu Aloha Clubhouse, Privacy Manager Breach",HI,Healthcare Provider,,10/31/2012,Unauthorized Access/Disclosure,Desktop Computer,No
QUANTERION SOLUTIONS INC,NY,Business Associate,1017,11/1/2012,Theft,Network Server,Yes
"University of Illinois, College of Nursing",IL,Business Associate,508,11/2/2012,Theft,Paper/Films,Yes
Henry Ford Health System,MI,,2777,11/5/2012,Loss,"Other, Other Portable Electronic Device",No
Union County Board of Developmental Disabilities,OH,Health Plan,,11/5/2012,Theft,Laptop,No
Indiana University,IN,,,11/5/2012,,,No
Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,FL,Healthcare Provider,2560,11/5/2012,Theft,Electronic Medical Record,No
"WYATT DENTAL GROUP, LLC",LA,Healthcare Provider,10271,11/5/2012,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,No
Women & Infants Hospital of Rhode Island,RI,Healthcare Provider,14004,11/5/2012,Loss,Other,No
Memorial Health System,CO,Healthcare Provider,6262,11/7/2012,Loss,Paper/Films,No
Maryville Academy,IL,Healthcare Provider,3897,11/8/2012,Loss,Other Portable Electronic Device,No
CHRISTUS St. John Hospital,TX,Healthcare Provider,5748,11/16/2012,Loss,Other Portable Electronic Device,No
L.A. Care Health Plan,CA,Health Plan,18000,11/17/2012,Other,Other,No
"Hawaii State Department of Health, Adult Mental Health Division",HI,Healthcare Provider,674,11/20/2012,Hacking/IT Incident,Desktop Computer,No
"Original Medicine Acupuncture & Wellness, LLC",NM,Healthcare Provider,,11/21/2012,Theft,Laptop,No
"Soundental Associates, PC",CT,Healthcare Provider,14511,11/21/2012,Theft,Other Portable Electronic Device,No
"Original Medicine Acupuncture & Wellness, LLC",NM,Healthcare Provider,540,11/21/2012,Theft,Laptop,No
Digital Archive Management,TX,Business Associate,501,11/21/2012,"Improper Disposal, Theft","Network Server, Paper/Films",Yes
Brigham and Women's Hospital,MA,Healthcare Provider,615,11/26/2012,Theft,Desktop Computer,No
"Advantage Health Solutions, Inc.",IN,Business Associate,2575,11/26/2012,Other,Other,Yes
"James M. McGee, D.M.D., P.C.",GA,Healthcare Provider,1306,11/27/2012,Theft,Paper/Films,No
Robbins Eye Center PC,CT,Healthcare Provider,1749,11/28/2012,Theft,Desktop Computer,No
"Advanced Data Processing, Inc.",FL,Healthcare Clearing House,10000,11/29/2012,Theft,Desktop Computer,No
Cuyahoga County Board of Developmental Disabilities,OH,Healthcare Provider,613,11/29/2012,Theft,Laptop,No
Blue Cross Blue Shield,IL,Business Associate,500,11/29/2012,Unauthorized Access/Disclosure,Network Server,Yes
Vidant Pungo Hospital,NC,Healthcare Provider,1100,11/29/2012,Improper Disposal,Paper/Films,No
County of San Bernardino Department of Public Heatlh,CA,Healthcare Provider,1370,11/29/2012,Unauthorized Access/Disclosure,Paper/Films,No
ADPI-West,CA,Business Associate,1500,11/29/2012,"Theft, Unauthorized Access/Disclosure",Desktop Computer,Yes
Landmark Medical Center,RI,Healthcare Provider,683,11/30/2012,Theft,Laptop,No
University of Virginia Medical Center,VA,Healthcare Provider,1846,11/30/2012,Loss,Other Portable Electronic Device,No
Carolinas Medical Center - Randolph,NC,Healthcare Provider,5600,12/7/2012,Hacking/IT Incident,Email,No
"Coastal Behavioral Healthcare, Inc.",FL,Healthcare Provider,4907,12/7/2012,Theft,Paper/Films,No
"CCS Medical, Inc.",TX,Healthcare Provider,6601,12/10/2012,Unauthorized Access/Disclosure,"Network Server, Other",No
Columbia University Medical Center and NewYork-Presbyterian Hospital,NY,Healthcare Provider,4929,12/14/2012,Theft,Desktop Computer,No
Health Advantage,AR,Health Plan,2863,12/20/2012,Other,Paper/Films,No
Westerville Dental Center,OH,Healthcare Provider,850,12/20/2012,Theft,"Laptop, Network Server",No
"OHP PHSP, Inc.",NY,,28187,12/21/2012,Unauthorized Access/Disclosure,Other,Yes
"Center for Orthopedic Research and Education, Inc.",AZ,Healthcare Provider,35488,12/21/2012,Theft,Paper/Films,No
Calif. Dept. of Health Care Services (DHCS),CA,Health Plan,2643,12/23/2012,Unauthorized Access/Disclosure,Other,No
Richard Switzer MD PC,MI,Healthcare Provider,4100,12/23/2012,Other,Laptop,No
Gibson General Hospital,IN,Healthcare Provider,28893,12/26/2012,Theft,Laptop,No
"Sovereign Medical Group, LLC",NJ,Healthcare Provider,27800,12/27/2012,"Hacking/IT Incident, Theft",Network Server,No
HP Enterprise Services,KY,Business Associate,1090,12/28/2012,Theft,Laptop,Yes
"Clearpoint Design, Inc.",MA,Business Associate,4343,12/28/2012,Hacking/IT Incident,Network Server,Yes
"Omnicell, Inc.",CA,Business Associate,56820,12/31/2012,Theft,Laptop,Yes
St. Mark's Medical Center,TX,Healthcare Provider,2988,12/31/2012,Hacking/IT Incident,Desktop Computer,No
Group Health Incorporated,NY,Health Plan,1771,1/2/2013,Theft,Paper/Films,No
"Calvin Schuster,MD",CA,Healthcare Provider,532,1/4/2013,Theft,Desktop Computer,No
"Clearpoint Design, Inc.",MA,Business Associate,4125,1/7/2013,Hacking/IT Incident,Network Server,Yes
University of Nevada School of Medicine,NV,Healthcare Provider,1483,1/8/2013,Improper Disposal,Paper/Films,No
WorkflowOne,OH,Business Associate,635,1/8/2013,Unauthorized Access/Disclosure,Paper/Films,Yes
SilverScript Insurance Company,AZ,Health Plan,852,1/8/2013,Unauthorized Access/Disclosure,Paper/Films,No
"Clearpoint Design, Inc.",MA,Business Associate,7250,1/10/2013,Hacking/IT Incident,Network Server,Yes
Pousson Family Dentistry,LA,Healthcare Provider,1400,1/10/2013,Theft,Laptop,No
"Clearpoint Design, Inc.",MA,Business Associate,4100,1/10/2013,Hacking/IT Incident,Network Server,Yes
"Lee D. Pollan, DMD, PC",NY,Healthcare Provider,19178,1/11/2013,Theft,Laptop,No
Washington University School of Medicine,MO,Healthcare Provider,1105,1/11/2013,Theft,Laptop,No
Riderwood Village,MD,Healthcare Provider,3230,1/17/2013,Theft,Laptop,No
WAYNE MEMORIAL HOSPITAL,PA,Healthcare Provider,1184,1/18/2013,Loss,Other,No
Baptist Health System,TX,Healthcare Provider,678,1/22/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
BlueCross BlueShield of Western New York,NY,Business Associate,725,1/22/2013,Theft,Paper/Films,Yes
"StandfordSchoolMedicine& LP Children Hosp, Privacy Manager Breach",CA,,,1/23/2013,,,No
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,29021,1/24/2013,Theft,Laptop,No
"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics",WI,Healthcare Provider,2400,1/25/2013,Theft,Paper/Films,No
RR Donnelley (a sub-BA for UnitedHealth Group),IL,Business Associate,8911,1/30/2013,Theft,Desktop Computer,Yes
Kmart Pharmacy #7623,LA,Business Associate,16988,1/31/2013,Improper Disposal,Paper/Films,Yes
Community Services NW,AL,Healthcare Provider,2400,2/2/2013,Theft,Desktop Computer,No
LifeGas,GA,Business Associate,1103,2/4/2013,Theft,Laptop,Yes
Yadkinville Chiropractic DCPA,NC,Business Associate,1000,2/6/2013,Theft,Desktop Computer,Yes
"Intervention Services, Inc.",FL,,1200,2/7/2013,Theft,Laptop,Yes
"Intervention Services, Inc.",FL,Healthcare Provider,1200,2/7/2013,Theft,Laptop,No
West Georgia Ambulance,GA,Healthcare Provider,500,2/11/2013,Loss,Laptop,No
"Center for Pain Management, LLC",MD,Healthcare Provider,5822,2/12/2013,Theft,Laptop,No
"Coast Healthcare Management, LLC",CA,Business Associate,1368,2/12/2013,"Other, Theft",Paper/Films,Yes
Froedtert Health,WI,Healthcare Provider,43549,2/12/2013,Unauthorized Access/Disclosure,Other,No
Jackson Health System,FL,Healthcare Provider,566,2/13/2013,Other,Paper/Films,No
Kindred Transitional Care and Rehabilitation - Marl,MA,Healthcare Provider,716,2/14/2013,Theft,Other Portable Electronic Device,No
"HomeCare of Mid-Missouri, Inc.",MO,Healthcare Provider,4027,2/14/2013,Theft,Laptop,No
Heyman HospiceCare at Floyd,GA,Healthcare Provider,1819,2/15/2013,Theft,Laptop,No
ABQ HealthPartners,NM,Healthcare Provider,778,2/17/2013,Theft,Laptop,No
Terrell County Health Department,GA,Healthcare Provider,18000,2/18/2013,Unauthorized Access/Disclosure,Network Server,No
Florida Healthy Kids Corporation,FL,,3667,2/19/2013,Unauthorized Access/Disclosure,Paper/Films,Yes
"Stronghold Counseling Services, Inc.",SD,Healthcare Provider,8500,2/21/2013,Theft,Desktop Computer,No
Arizona Oncology,AZ,Healthcare Provider,501,2/21/2013,Theft,Laptop,No
Crescent Health Inc. - a Walgreens Company,CA,Healthcare Provider,109000,2/22/2013,Theft,Desktop Computer,No
"County of San Bernardino, Department of Behavioral Health",CA,Health Plan,686,2/25/2013,Theft,Paper/Films,No
"WOMENS HEALTH ENTERPRISE, INC.",GA,Healthcare Provider,3000,2/27/2013,Theft,Laptop,No
Standard Register,OH,Business Associate,2261,3/1/2013,Theft,Paper/Films,Yes
Health Plus Amerigroup,NY,Business Associate,28187,3/1/2013,Theft,Other Portable Electronic Device,Yes
Plexus Group,IL,Business Associate,500,3/1/2013,Unauthorized Access/Disclosure,Other,Yes
South Miami Hospital,FL,Healthcare Provider,834,3/2/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
Lancaster General Medical Group,PA,Healthcare Provider,527,3/4/2013,Theft,Paper/Films,No
Maine Medical Center,ME,Healthcare Provider,1920,3/4/2013,Other,Email,No
North Los Angeles County Regional Center ,CA,Business Associate,18162,3/4/2013,Theft,Laptop,Yes
Goold Health System (Goold),MA,Business Associate,6332,3/6/2013,Loss,Other Portable Electronic Device,Yes
Sports Rehabilitation Consultants,OH,Healthcare Provider,1200,3/6/2013,Theft,Desktop Computer,No
University of Connecticut Health Center,CT,Healthcare Provider,1382,3/8/2013,Unauthorized Access/Disclosure,Network Server,No
"United HomeCare Services, Inc.",FL,Healthcare Provider,12299,3/9/2013,Theft,Laptop,No
Patterson Dental Supply/Patterson Companies,MN,Business Associate,6400,3/12/2013,Hacking/IT Incident,Network Server,Yes
Connextions c/o Anthem BCBS,IN,Business Associate,1678,3/14/2013,"Theft, Unauthorized Access/Disclosure",Network Server,Yes
Mount Sinai Medical Center,FL,Healthcare Provider,628,3/15/2013,Theft,"Desktop Computer, Paper/Films",No
"Thomas L. Davis, Jr. DDS",OR,Healthcare Provider,3269,3/15/2013,Theft,"Desktop Computer, Electronic Medical Record",No
M&C Children's Clinic PA,TX,,,3/19/2013,,,No
"HealthCare for Women, Inc.",MA,Healthcare Provider,8727,3/20/2013,Hacking/IT Incident,Network Server,No
University of Mississippi Medical Center,MS,Healthcare Provider,500,3/21/2013,Loss,Laptop,No
Granger Medical Clinic,UT,Healthcare Provider,2600,3/22/2013,"Loss, Other, Theft",Paper/Films,No
Texas Tech Unversity Health Sciences Center,TX,Healthcare Provider,697,3/22/2013,Unauthorized Access/Disclosure,Paper/Films,No
Oregon Health & Science University,OR,Healthcare Provider,,3/26/2013,Theft,Laptop,No
Rite Aid #10217,RI,Healthcare Provider,2082,3/29/2013,"Other, Unknown",Paper/Films,No
"Sunil Kakar, Psy.D.",WA,Business Associate,629,3/29/2013,Theft,Laptop,Yes
"QuickRunner, Inc. (dba, RoadRunner Mailing Services)",CA,Business Associate,2400,3/29/2013,Unauthorized Access/Disclosure,Paper/Films,Yes
"Shands Jacksonville Medical Center, Inc.",FL,Healthcare Provider,1025,4/2/2013,Theft,Electronic Medical Record,No
University of Florida,FL,Healthcare Provider,14519,4/3/2013,"Other, Theft, Unauthorized Access/Disclosure",Network Server,No
Kmart Corporation,IL,Healthcare Provider,12542,4/3/2013,Theft,Electronic Medical Record,No
PORTAL HEALTHCARE SOLUTIONS LLC,VA,Business Associate,2360,4/4/2013,Theft,Network Server,Yes
Hospice and Palliative Care Center of Alamance Caswell,NC,Healthcare Provider,5370,4/4/2013,"Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films",No
"Texas Health Care, P.L.L.C.",TX,Healthcare Provider,554,4/5/2013,Theft,Paper/Films,No
TMG Health ,PA,Business Associate,3794,4/5/2013,Unauthorized Access/Disclosure,Paper/Films,Yes
Wm. Jennings Bryan Dorn VAMC,SC,Healthcare Provider,7405,4/10/2013,Theft,Laptop,No
John J. Pershing VA Medical Center,MO,Healthcare Provider,589,4/11/2013,Theft,Paper/Films,No
Oregon Health & Science University,OR,Healthcare Provider,1076,4/11/2013,Theft,Laptop,No
Schneck Medical Center,IN,Healthcare Provider,3131,4/12/2013,Unauthorized Access/Disclosure,Other,No
The Guidance Center of Westchester,NY,Healthcare Provider,1416,4/17/2013,Theft,Desktop Computer,No
Hope Hospice,TX,Healthcare Provider,818,4/25/2013,Other,Email,No
"IHC Health Services, Inc. dba Intermountain Life Flight",UT,Healthcare Provider,857,4/26/2013,Unauthorized Access/Disclosure,Other,No
Valley Mental Health,UT,Healthcare Provider,700,4/26/2013,Theft,Desktop Computer,No
ZDI,CA,Business Associate,14829,4/29/2013,Loss,Paper/Films,Yes
Raleigh Orthopaedic Clinic,NC,Healthcare Provider,17300,4/30/2013,"Improper Disposal, Theft, Unauthorized Access/Disclosure",Paper/Films,No
Laboratory Corporation of America,NC,Healthcare Provider,1580,5/1/2013,Theft,Desktop Computer,No
"Arizona Counseling & Treatment Services, LLC",AZ,Healthcare Provider,3800,5/1/2013,Theft,Other Portable Electronic Device,No
Wood County Hospital,OH,Healthcare Provider,2500,5/3/2013,Theft,Other,No
University of Rochester Medical Center & Affiliates,NY,Healthcare Provider,537,5/6/2013,Loss,Other Portable Electronic Device,No
AssuranceMD f/k/a Harbor Group,PA,Business Associate,22000,5/7/2013,Theft,Other Portable Electronic Device,Yes
Digital Archive Management,TX,Business Associate,189489,5/7/2013,Improper Disposal,Paper/Films,Yes
Seattle - King County Department of Public Health,WA,Healthcare Provider,750,5/7/2013,Improper Disposal,Paper/Films,No
Regional Medical Center,TN,Healthcare Provider,1180,5/7/2013,Unauthorized Access/Disclosure,Email,No
"E-dreamz, Inc.",NC,Business Associate,9988,5/8/2013,Hacking/IT Incident,Network Server,Yes
"North Atlantic Telecom, Inc.",TN,Business Associate,539,5/8/2013,Other,Desktop Computer,Yes
"E-dreamz, Inc.",NC,Business Associate,1924,5/10/2013,Hacking/IT Incident,Network Server,Yes
Indiana University Health Arnett,IN,Healthcare Provider,10350,5/13/2013,Theft,Laptop,No
Dent Neurologic Institute,NY,Healthcare Provider,10000,5/14/2013,Unauthorized Access/Disclosure,Email,No
City of Norwood,OH,Healthcare Provider,9577,5/20/2013,Loss,Laptop,No
Lutheran Social Services of South Central Pennsylvania,PA,Healthcare Provider,7803,5/20/2013,Hacking/IT Incident,Network Server,No
Just the Connection Inc,IN,Business Associate,5388,5/20/2013,Improper Disposal,Other,Yes
Erskine Family Dentistry,IN,Healthcare Provider,2723,5/21/2013,Hacking/IT Incident,Desktop Computer,No
Health Resources of Arkansas,AR,Healthcare Provider,1900,5/23/2013,"Theft, Unauthorized Access/Disclosure",Other,No
SynerMed / Inland Valleys IPA,CA,Business Associate,3164,5/24/2013,Theft,Laptop,Yes
Independence Care System,NY,Health Plan,2434,5/24/2013,Theft,Laptop,No
Sonoma Valley Hospital,CA,Healthcare Provider,1386,5/24/2013,Other,Other,No
Bon Secours Mary Immaculate Hospital,VA,Healthcare Provider,5764,5/29/2013,Theft,Electronic Medical Record,No
University of Florida,FL,Healthcare Provider,5875,5/30/2013,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,No
"Community Support Services, Inc.",OH,Healthcare Provider,1167,6/3/2013,Theft,Email,No
UMASSAmherst,MA,Healthcare Provider,1670,6/5/2013,Hacking/IT Incident,Desktop Computer,No
Palm Beach County Health Department,FL,Healthcare Provider,877,6/11/2013,Unauthorized Access/Disclosure,Desktop Computer,No
Lucile Packard Children's Hospital,CA,Healthcare Provider,12900,6/13/2013,Theft,Laptop,No
Fayetteville VAMC,NC,Healthcare Provider,1093,6/14/2013,Theft,Paper/Films,No
Lincoln County Health and Human Services/Lincoln Community Health Center,OR,Healthcare Provider,959,6/14/2013,Unauthorized Access/Disclosure,Paper/Films,No
Union Security Insurance Company,MO,Health Plan,1127,6/17/2013,Improper Disposal,Email,No
"Gulf Breeze Family Eyecare, Inc",FL,Healthcare Provider,9626,6/17/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films",No
Jacksonville Spine Center,FL,Healthcare Provider,5200,6/24/2013,Theft,Paper/Films,No
Iowa Department of Human Services,IA,Healthcare Provider,7335,6/26/2013,"Loss, Unknown",Other,No
James A. Fosnaugh,NE,Healthcare Provider,2125,6/26/2013,Loss,Other Portable Electronic Device,No
Lone Star Circle of Care,TX,Healthcare Provider,1955,6/28/2013,Theft,Laptop,No
Alberto Gerardo Vazquez Rivera,PR,Business Associate,679,6/28/2013,Theft,Laptop,Yes
RCR Technology Corporation,IN,Business Associate,187533,7/1/2013,Other,Paper/Films,Yes
CVS Caremark,AZ,Business Associate,4305,7/2/2013,Theft,Paper/Films,Yes
"Health Net, Inc.",CA,Health Plan,8331,7/2/2013,Other,Paper/Films,No
"South Florida Neurology Associates, P.A.",FL,Healthcare Provider,900,7/3/2013,Theft,Laptop,No
Samaritan Regional Health System,OH,Healthcare Provider,2203,7/3/2013,Theft,Paper/Films,No
MED-EL Coproration,NC,Healthcare Provider,609,7/5/2013,Other,Email,No
Sutter Health East Bay Region,CA,,4479,7/5/2013,Unauthorized Access/Disclosure,Email,Yes
Family Health Network,IL,Business Associate,3133,7/8/2013,Other,Paper/Films,Yes
ZDI,CA,Business Associate,4718,7/10/2013,Loss,Paper/Films,Yes
Children's Medical Center of Dallas,TX,Healthcare Provider,2462,7/10/2013,Theft,Laptop,No
"Medtronic, Inc.",MN,Healthcare Provider,2764,7/10/2013,Theft,Paper/Films,No
Shred-it International Inc.,TX,Business Associate,277014,7/11/2013,Improper Disposal,Other,Yes
Long Beach Memorial Medical Center,CA,Healthcare Provider,2864,7/11/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
Illinois Department of Healthcare and Family Services,IL,,,7/15/2013,,,No
Hansen and Associates,WY,,2700,7/15/2013,Unauthorized Access/Disclosure,Desktop Computer,Yes
Sheet Metal Local 36 Welfare Fund,MO,,4560,7/15/2013,Unauthorized Access/Disclosure,Other,Yes
Harris County,TX,Health Plan,21000,7/16/2013,Unauthorized Access/Disclosure,Desktop Computer,No
Jesle Kuizon,CA,Business Associate,800,7/18/2013,"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server",Yes
"GEO Care, LLC",FL,Healthcare Provider,710,7/19/2013,Theft,Desktop Computer,No
The Brookdale Hospital and Medical Center,NY,Healthcare Provider,2700,7/20/2013,Loss,Other Portable Electronic Device,No
Louisiana State University Health Care Services Division,LA,Healthcare Provider,6994,7/22/2013,Unauthorized Access/Disclosure,Desktop Computer,No
Louisiana State University Health Care Services Division,LA,,,7/25/2013,,,No
Oregon Health & Science University,OR,Healthcare Provider,1361,7/28/2013,Unauthorized Access/Disclosure,Other,No
Rocky Mountain Spine Clinic,CO,Healthcare Provider,532,7/31/2013,Unauthorized Access/Disclosure,Email,No
"Vitreo-Retinal Medical Group, Inc. ",CA,Healthcare Provider,1837,8/2/2013,Theft,Laptop,No
Health Resources of Arkansas,AR,Business Associate,1911,8/5/2013,Theft,Laptop,Yes
Baylor All Saints Medical Center at Fort Worth,TX,Healthcare Provider,940,8/5/2013,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
M2ComSys Inc.,NV,Business Associate,32151,8/8/2013,Unauthorized Access/Disclosure,Network Server,Yes
Young Family Medicine Inc.,OH,Healthcare Provider,2045,8/12/2013,Theft,Laptop,No
Hancock OB/GYN,IN,Healthcare Provider,1396,8/12/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
Anthem BCBS of GA,IN,Business Associate,5497,8/13/2013,Theft,Other,Yes
"InfoCrossing, Inc.",MO,Business Associate,1357,8/13/2013,Unauthorized Access/Disclosure,Paper/Films,Yes
Foundations Recovery Network,TN,Healthcare Provider,5690,8/15/2013,Unauthorized Access/Disclosure,Laptop,No
California Correctional Health Care Services,CA,Healthcare Provider,1033,8/16/2013,Other,Paper/Films,No
North Texas Comprehensive Spine & Pain Center,TX,Healthcare Provider,3200,8/19/2013,"Loss, Theft",Other Portable Electronic Device,No
Elbowoods Memorial Health Center,ND,Health Plan,10000,8/21/2013,Improper Disposal,"Desktop Computer, Other, Other Portable Electronic Device, Paper/Films",No
Jackson Health System,FL,Healthcare Provider,1471,8/22/2013,Theft,"Other, Paper/Films",No
"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",IL,Healthcare Provider,4029530,8/23/2013,Theft,Desktop Computer,No
"Summit Community Care Clinic, Inc.",CO,Healthcare Provider,921,8/27/2013,Hacking/IT Incident,Desktop Computer,No
UT Physicians,TX,Healthcare Provider,596,8/28/2013,Theft,Laptop,No
"Cogent Healthcare, Inc.",TN,Business Associate,32000,8/30/2013,Theft,Network Server,Yes
Atlanta Center for Reproductive Medicine,GA,Healthcare Provider,654,8/30/2013,Unauthorized Access/Disclosure,Email,No
St. Anthony's Physician Organization,MO,Healthcare Provider,2600,8/30/2013,Theft,"Laptop, Other Portable Electronic Device",No
Valperaiso Fire Department,IN,Health Plan,,9/3/2013,Theft,Desktop Computer,No
Janna Benkelman LPC LLC,CO,Healthcare Provider,1500,9/3/2013,Theft,Laptop,No
Olson & White Orthodontics,MO,Healthcare Provider,10000,9/3/2013,Theft,"Desktop Computer, Network Server",No
Kaiser Foundation Health Plan of the Northwest,OR,Health Plan,647,9/3/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Hankyu Chung, M.D.",CA,Healthcare Provider,2182,9/6/2013,Theft,Laptop,No
"ICS Collection Service, Inc.",IL,Business Associate,1290,9/6/2013,Hacking/IT Incident,Other,Yes
PHMHS,PR,Business Associate,5000,9/11/2013,Theft,Network Server,Yes
Dermatology Associates of Tallahassee,FL,Healthcare Provider,915,9/12/2013,Theft,Other Portable Electronic Device,No
"NHC HealthCare, Oak Ridge",TN,Healthcare Provider,4268,9/13/2013,Loss,Other,No
"NHC HealthCare, Mauldin",SC,Healthcare Clearing House,4204,9/13/2013,Improper Disposal,Other,No
Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group,IL,,2029,9/13/2013,Hacking/IT Incident,Network Server,Yes
Dreyer Medical Clinic,IL,,998,9/13/2013,Hacking/IT Incident,Network Server,Yes
"South Shore Physicians, PC",NY,Healthcare Provider,8000,9/16/2013,Theft,Network Server,No
Dermatology Associates of Tallahassee,FL,Healthcare Provider,915,9/16/2013,Unknown,Other,No
Sierra View District Hospital,CA,Healthcare Provider,1009,9/20/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
